pm25,pm10,so2,no2,co,纬度,经度, 
0.46,0.49,0.04,0.16,0.13,35.99,87.2, 
0.45,0.47,0.04,0.16,0.13,36.01,87.37, 
0.44,0.46,0.04,0.15,0.13,36.04,87.54, 
0.43,0.45,0.04,0.15,0.13,36.06,87.7, 
0.4,0.43,0.04,0.15,0.13,36.08,87.87, 
0.39,0.41,0.04,0.14,0.13,36.1,88.03, 
0.38,0.4,0.04,0.14,0.13,36.12,88.2, 
0.36,0.38,0.03,0.14,0.13,36.15,88.37, 
0.35,0.37,0.03,0.14,0.13,36.17,88.53, 
0.35,0.37,0.04,0.13,0.13,36.19,88.7, 
0.34,0.36,0.03,0.13,0.13,36.21,88.86, 
0.34,0.36,0.03,0.13,0.13,36.23,89.03, 
0.34,0.36,0.04,0.13,0.13,36.25,89.2, 
0.33,0.35,0.03,0.13,0.13,36.27,89.36, 
0.33,0.35,0.04,0.13,0.13,36.29,89.53, 
0.31,0.33,0.03,0.13,0.13,36.31,89.7, 
0.32,0.34,0.04,0.13,0.13,36.33,89.86, 
0.31,0.33,0.04,0.13,0.13,36.35,90.03, 
0.31,0.33,0.04,0.13,0.13,36.37,90.2, 
0.31,0.33,0.04,0.13,0.13,36.38,90.36, 
0.31,0.33,0.04,0.13,0.13,36.4,90.53, 
0.31,0.33,0.04,0.13,0.13,36.42,90.7, 
0.31,0.33,0.04,0.13,0.13,36.44,90.87, 
0.31,0.33,0.04,0.13,0.13,36.46,91.03, 
0.3,0.33,0.04,0.13,0.13,36.47,91.2, 
0.29,0.32,0.04,0.12,0.13,36.49,91.37, 
0.3,0.32,0.04,0.13,0.13,36.51,91.54, 
0.33,0.36,0.04,0.13,0.13,36.53,91.7, 
0.34,0.37,0.04,0.14,0.13,36.54,91.87, 
0.34,0.37,0.05,0.14,0.13,36.56,92.04, 
0.4,0.43,0.05,0.13,0.13,36.58,92.21, 
0.52,0.55,0.05,0.13,0.13,36.59,92.37, 
0.64,0.67,0.05,0.13,0.13,36.61,92.54, 
0.66,0.69,0.05,0.13,0.13,36.62,92.71, 
0.68,0.71,0.05,0.13,0.13,36.64,92.88, 
0.75,0.78,0.05,0.12,0.12,36.65,93.05, 
2.73,2.76,0.05,0.12,0.12,36.67,93.21, 
4.36,4.38,0.05,0.12,0.12,36.68,93.38, 
3.34,3.36,0.05,0.13,0.12,36.7,93.55, 
1.7,1.74,0.07,0.19,0.12,36.71,93.72, 
1.12,1.19,0.13,0.32,0.13,36.73,93.89, 
0.98,1.12,0.24,0.51,0.13,36.74,94.06, 
1.31,1.53,0.36,0.66,0.13,36.76,94.22, 
1.71,2.01,0.49,0.82,0.13,36.77,94.39, 
2.17,2.56,0.63,0.99,0.13,36.78,94.56, 
2.56,3.02,0.77,1.14,0.14,36.8,94.73, 
2.51,2.92,0.75,0.94,0.13,36.81,94.9, 
2.28,2.59,0.67,0.69,0.13,36.82,95.07, 
2.2,2.47,0.66,0.57,0.13,36.83,95.24, 
2.15,2.4,0.68,0.52,0.13,36.85,95.41, 
2.06,2.3,0.72,0.49,0.13,36.86,95.57, 
2.09,2.32,0.76,0.5,0.13,36.87,95.74, 
2.12,2.35,0.8,0.53,0.13,36.88,95.91, 
2.09,2.33,0.89,0.57,0.13,36.89,96.08, 
2.14,2.39,0.95,0.62,0.13,36.91,96.25, 
2.26,2.51,1.02,0.67,0.13,36.92,96.42, 
2.41,2.67,1.1,0.74,0.13,36.93,96.59, 
2.52,2.79,1.19,0.78,0.13,36.94,96.76, 
2.38,2.63,0.95,0.63,0.13,36.95,96.93, 
2.2,2.42,0.71,0.49,0.13,36.96,97.1, 
2.05,2.25,0.53,0.42,0.13,36.97,97.27, 
1.94,2.12,0.46,0.45,0.13,36.98,97.44, 
1.86,2.04,0.47,0.57,0.13,36.99,97.61, 
1.82,1.99,0.49,0.52,0.13,37,97.77, 
1.82,2,0.54,0.55,0.13,37.01,97.94, 
1.9,2.09,0.63,0.61,0.13,37.02,98.11, 
2.64,3.01,1.09,1.08,0.14,37.02,98.28, 
2.74,3.13,1.12,1.13,0.14,37.03,98.45, 
2.7,3.09,1.09,1.15,0.14,37.04,98.62, 
2.42,2.75,0.88,0.96,0.14,37.05,98.79, 
2.29,2.59,0.76,0.89,0.14,37.06,98.96, 
2.15,2.43,0.66,0.78,0.13,37.06,99.13, 
2.02,2.27,0.59,0.69,0.13,37.07,99.3, 
2.02,2.27,0.63,0.74,0.13,37.08,99.47, 
2.1,2.37,0.69,0.83,0.14,37.09,99.64, 
1.93,2.29,0.69,0.69,0.13,37.09,99.81, 
1.87,2.31,0.68,0.63,0.13,37.1,99.98, 
1.92,2.45,0.71,0.62,0.14,37.1,100.15, 
2.09,2.69,0.76,0.72,0.14,37.11,100.32, 
2.59,3.17,0.87,1.1,0.14,37.12,100.49, 
2.74,3.23,0.87,1.23,0.14,37.12,100.66, 
2.75,3.16,0.84,1.16,0.15,37.13,100.83, 
2.69,3.06,0.8,1.12,0.15,37.13,101, 
2.77,3.16,0.82,1.15,0.15,37.14,101.17, 
3.23,3.75,0.89,1.38,0.17,37.14,101.34, 
4.58,5.54,1.18,2.12,0.22,37.15,101.51, 
5.99,7.49,1.54,2.95,0.27,37.15,101.68, 
6.12,7.6,1.64,3.04,0.27,37.16,101.85, 
6.77,8.5,1.98,3.55,0.28,37.16,102.02, 
6.38,8.02,1.76,3.46,0.26,37.16,102.19, 
6.43,8.18,1.56,3.73,0.27,37.17,102.36, 
7.06,9.22,1.49,4.33,0.3,37.17,102.53, 
7.68,10.18,1.5,4.78,0.33,37.17,102.7, 
8.78,11.8,1.64,5.57,0.37,37.18,102.87, 
10.15,13.74,2.29,6.89,0.41,37.18,103.04, 
11.92,16.39,2.96,8.15,0.45,37.18,103.21, 
14.47,20.5,3.87,9.79,0.5,37.18,103.38, 
19.24,28.56,6.16,13.09,0.6,37.19,103.55, 
21.99,33.5,8.06,15.02,0.63,37.19,103.72, 
24.44,38.18,10.49,17.74,0.65,37.19,103.89, 
32.07,53.3,17.21,26.73,0.8,37.19,104.06, 
41.46,72.06,21.84,36.5,1.05,37.19,104.23, 
42.14,72.96,18.95,33.59,1.03,37.19,104.4, 
43.54,75.38,17.98,35.86,1.04,37.19,104.57, 
45.48,81.99,19.12,43.07,1.07,37.19,104.74, 
45.9,84.98,19.22,47.62,1.05,37.19,104.91, 
42.49,79.17,16.6,41.31,0.95,37.19,105.09, 
40.41,75.75,15.03,37.96,0.9,37.19,105.26, 
38.61,72.88,13.76,35.03,0.85,37.19,105.43, 
36.69,70.66,12.63,32.45,0.82,37.19,105.6, 
33.19,66.68,11.23,25.25,0.77,37.19,105.77, 
31.65,64.53,10.57,20.5,0.73,37.19,105.94, 
29.82,59.84,10.38,17.74,0.67,37.19,106.11, 
27.35,53.85,9.91,15.54,0.6,37.19,106.28, 
25.94,49.69,10.14,14.54,0.55,37.19,106.45, 
26.27,49.39,10.65,13.97,0.53,37.18,106.62, 
27.86,50.66,11.1,15.43,0.51,37.18,106.79, 
28.82,50.53,11.76,13.28,0.47,37.18,106.96, 
28.6,48.28,11.88,9.67,0.43,37.18,107.13, 
28.5,46.41,12.44,9.18,0.4,37.17,107.3, 
28.23,44.8,13.13,9.49,0.39,37.17,107.47, 
28.12,44.3,14.06,10.67,0.41,37.17,107.64, 
27.64,43.94,14.85,12.33,0.45,37.16,107.81, 
26.42,41.94,15.04,13.1,0.49,37.16,107.98, 
25,39.6,14.96,13.37,0.52,37.16,108.15, 
23.9,38.47,15.26,14.56,0.58,37.15,108.32, 
23.64,39.46,16.19,17.66,0.65,37.15,108.49, 
24.81,42.92,18.21,22.49,0.75,37.14,108.66, 
26.91,48.37,21.49,29.61,0.9,37.14,108.83, 
29.3,54.68,22.43,34.65,1.05,37.13,109, 
31.97,61.5,23.46,39,1.2,37.13,109.17, 
34.05,67.33,25.83,43.02,1.33,37.12,109.34, 
36.36,72.62,28.84,47.74,1.42,37.12,109.51, 
40.33,80.21,33.44,53.6,1.48,37.11,109.68, 
46.04,89.4,37.91,59.74,1.52,37.1,109.85, 
52.07,96.38,40.25,63.1,1.49,37.1,110.02, 
57.27,102.21,42.81,65.26,1.48,37.09,110.19, 
64.6,112.05,48.64,68.03,1.51,37.09,110.36, 
75.56,126.69,56.53,69.44,1.51,37.08,110.53, 
85.38,137.17,56.59,67.28,1.51,37.07,110.7, 
86.4,137.36,53.86,65.87,1.44,37.06,110.87, 
89.5,142.33,55.49,67.31,1.45,37.06,111.04, 
95.55,152.36,60.71,70.84,1.52,37.05,111.21, 
101.86,163.69,65.75,74.98,1.6,37.04,111.38, 
116.12,196.49,80.89,82.08,1.96,37.03,111.55, 
148.73,268.17,110.47,87.8,2.88,37.02,111.72, 
167.77,303.63,116.58,87.67,3.33,37.02,111.89, 
148.45,251.18,74.12,82.31,2.6,37.01,112.06, 
138.06,226.83,49.14,75.81,2.08,37,112.23, 
134.81,223.76,43.3,74.16,1.93,36.99,112.39, 
135.42,231.99,40.96,72.14,2.02,36.98,112.56, 
129.67,228.75,37.98,71.2,2.01,36.97,112.73, 
120.91,214.61,33.02,69.23,1.83,36.96,112.9, 
115.41,204.53,27.97,64.95,1.69,36.95,113.07, 
111.8,198.08,24.81,62.72,1.6,36.94,113.24, 
105.72,187.26,21.92,60.99,1.47,36.93,113.41, 
104.81,187.31,20.08,61.74,1.47,36.92,113.58, 
108.79,197.33,19.03,62.62,1.48,36.91,113.75, 
118.17,219.91,18.78,64.33,1.55,36.89,113.92, 
134.33,257.85,18.9,66.88,1.72,36.88,114.09, 
158.2,312.6,20.87,69.73,2.07,36.87,114.26, 
173.38,354.14,19.75,71.68,2.23,36.86,114.43, 
172.67,365.17,17.46,70.86,2.15,36.85,114.59, 
159.47,345.71,14.83,67.83,1.86,36.83,114.76, 
155.22,337.68,15.02,66.62,1.81,36.82,114.93, 
153.95,329.43,16.11,66.3,1.81,36.81,115.1, 
157.2,335.15,17.89,67.83,1.94,36.8,115.27, 
160.58,339.8,20.01,70.16,2.06,36.78,115.44, 
167.05,344.2,21.77,72.68,2.13,36.77,115.61, 
175.38,350.16,22.03,76.52,2.15,36.76,115.78, 
184.38,362.39,23.97,81.94,2.27,36.74,115.94, 
192.05,375.89,25.92,86.65,2.42,36.73,116.11, 
199.51,388.66,25.75,89.39,2.56,36.71,116.28, 
205.42,398.37,25.54,92.11,2.63,36.7,116.45, 
212.78,407.05,25.11,93.08,2.64,36.68,116.62, 
253.67,468.16,32.95,109.95,3.19,36.67,116.79, 
236.71,435.59,25.03,105.96,2.82,36.65,116.95, 
217.87,403.24,24.69,95.72,2.58,36.64,117.12, 
176.79,326.79,21.08,69.17,1.99,36.62,117.29, 
178.31,325.2,21.66,68.29,2,36.61,117.46, 
180.46,326.13,21.88,68.3,2.04,36.59,117.63, 
180.65,324.39,21,66.1,2.03,36.58,117.79, 
173.09,305.45,20.05,61.91,1.87,36.56,117.96, 
169.74,295.39,19.16,57.85,1.78,36.54,118.13, 
170.71,296.05,18.54,55.57,1.79,36.53,118.3, 
175.35,307.11,17.82,55.35,1.84,36.51,118.46, 
173.19,309.91,17.09,54,1.83,36.49,118.63, 
162.19,299.38,16,52.16,1.73,36.47,118.8, 
158.02,301.67,15.81,51.6,1.74,36.46,118.97, 
147.81,291.88,15.21,49.84,1.65,36.44,119.13, 
134.35,273.08,13.6,46.87,1.49,36.42,119.3, 
127.21,266.98,12.79,46.57,1.43,36.4,119.47, 
118.82,259.82,12.86,46.18,1.39,36.38,119.64, 
112.3,254.14,13.28,46.38,1.37,36.37,119.8, 
104.84,242.63,12.23,44.43,1.31,36.35,119.97, 
95.44,228.66,11.18,42.96,1.25,36.33,120.14, 
85.57,211.4,9.97,40.13,1.17,36.31,120.3, 
71.51,173.02,8.03,32.01,0.96,36.29,120.47, 
61.56,128.21,7.81,21.77,0.72,36.27,120.64, 
0.69,0.73,0.1,2.58,0.13,34.64,78.53, 
0.65,0.69,0.1,2.28,0.13,34.67,78.69, 
0.62,0.67,0.1,2.03,0.13,34.7,78.85, 
0.6,0.64,0.1,1.77,0.13,34.73,79.01, 
0.59,0.64,0.1,1.58,0.13,34.77,79.17, 
0.59,0.64,0.11,1.45,0.13,34.8,79.33, 
0.59,0.64,0.12,1.31,0.13,34.83,79.49, 
0.59,0.64,0.12,1.25,0.13,34.86,79.65, 
0.6,0.65,0.12,1.25,0.13,34.9,79.81, 
0.59,0.65,0.11,1.21,0.13,34.93,79.98, 
0.57,0.64,0.1,1.13,0.14,34.96,80.14, 
0.53,0.61,0.09,0.99,0.14,34.99,80.3, 
0.43,0.5,0.08,0.68,0.14,35.02,80.46, 
0.35,0.41,0.07,0.51,0.14,35.05,80.62, 
0.32,0.37,0.06,0.45,0.13,35.08,80.78, 
0.3,0.34,0.06,0.4,0.13,35.12,80.95, 
0.28,0.32,0.05,0.37,0.13,35.15,81.11, 
0.27,0.31,0.05,0.35,0.13,35.18,81.27, 
0.27,0.3,0.05,0.33,0.14,35.21,81.43, 
0.27,0.31,0.06,0.31,0.14,35.24,81.59, 
0.29,0.32,0.06,0.3,0.14,35.27,81.76, 
0.31,0.34,0.06,0.29,0.14,35.29,81.92, 
0.32,0.34,0.06,0.28,0.14,35.32,82.08, 
0.33,0.35,0.06,0.26,0.14,35.35,82.24, 
0.33,0.36,0.06,0.26,0.13,35.38,82.41, 
0.33,0.35,0.05,0.25,0.13,35.41,82.57, 
0.34,0.36,0.05,0.24,0.13,35.44,82.73, 
0.33,0.35,0.05,0.24,0.13,35.47,82.9, 
0.33,0.35,0.05,0.23,0.13,35.49,83.06, 
0.33,0.35,0.05,0.22,0.13,35.52,83.22, 
0.34,0.36,0.05,0.22,0.13,35.55,83.39, 
0.35,0.38,0.05,0.22,0.13,35.58,83.55, 
0.37,0.4,0.05,0.22,0.13,35.6,83.71, 
0.4,0.43,0.06,0.21,0.13,35.63,83.88, 
0.44,0.47,0.06,0.21,0.13,35.66,84.04, 
0.48,0.51,0.06,0.21,0.13,35.68,84.21, 
0.53,0.56,0.06,0.21,0.13,35.71,84.37, 
0.57,0.6,0.06,0.2,0.13,35.74,84.54, 
0.63,0.66,0.06,0.21,0.13,35.76,84.7, 
0.7,0.74,0.06,0.21,0.13,35.79,84.86, 
0.78,0.81,0.06,0.21,0.14,35.81,85.03, 
0.82,0.86,0.06,0.21,0.14,35.84,85.19, 
0.84,0.88,0.06,0.21,0.14,35.86,85.36, 
0.82,0.86,0.06,0.2,0.13,35.89,85.52, 
0.8,0.84,0.06,0.2,0.13,35.91,85.69, 
0.78,0.81,0.06,0.19,0.13,35.94,85.85, 
0.75,0.79,0.06,0.19,0.13,35.96,86.02, 
0.71,0.74,0.06,0.19,0.13,35.99,86.18, 
0.66,0.69,0.06,0.18,0.13,36.01,86.35, 
0.62,0.65,0.05,0.17,0.13,36.03,86.51, 
0.59,0.62,0.05,0.17,0.13,36.06,86.68, 
0.57,0.6,0.05,0.17,0.13,36.08,86.84, 
0.56,0.58,0.05,0.16,0.13,36.1,87.01, 
0.54,0.56,0.04,0.16,0.13,36.13,87.18, 
0.53,0.55,0.05,0.16,0.13,36.15,87.34, 
0.51,0.53,0.04,0.15,0.13,36.17,87.51, 
0.49,0.51,0.04,0.15,0.13,36.19,87.67, 
0.45,0.47,0.04,0.14,0.13,36.21,87.84, 
0.44,0.46,0.04,0.14,0.13,36.24,88.01, 
0.44,0.46,0.04,0.14,0.13,36.26,88.17, 
0.43,0.45,0.04,0.14,0.13,36.28,88.34, 
0.42,0.44,0.04,0.14,0.13,36.3,88.51, 
0.41,0.43,0.04,0.13,0.13,36.32,88.67, 
0.4,0.42,0.04,0.13,0.13,36.34,88.84, 
0.4,0.42,0.04,0.14,0.13,36.36,89.01, 
0.42,0.44,0.04,0.14,0.13,36.38,89.17, 
0.37,0.38,0.04,0.13,0.13,36.4,89.34, 
0.39,0.4,0.04,0.13,0.13,36.42,89.51, 
0.37,0.39,0.04,0.13,0.13,36.44,89.67, 
0.36,0.38,0.04,0.13,0.13,36.46,89.84, 
0.36,0.38,0.04,0.13,0.13,36.48,90.01, 
0.37,0.39,0.04,0.13,0.13,36.5,90.17, 
0.37,0.39,0.04,0.13,0.13,36.52,90.34, 
0.35,0.37,0.04,0.13,0.13,36.54,90.51, 
0.35,0.37,0.04,0.13,0.13,36.56,90.68, 
0.36,0.38,0.04,0.13,0.13,36.57,90.84, 
0.37,0.39,0.05,0.13,0.13,36.59,91.01, 
0.38,0.4,0.05,0.13,0.13,36.61,91.18, 
0.39,0.41,0.05,0.13,0.13,36.63,91.35, 
0.41,0.43,0.05,0.14,0.13,36.64,91.51, 
0.41,0.44,0.05,0.14,0.13,36.66,91.68, 
0.42,0.44,0.05,0.14,0.13,36.68,91.85, 
0.4,0.43,0.05,0.14,0.13,36.69,92.02, 
0.52,0.55,0.05,0.14,0.13,36.71,92.19, 
0.72,0.75,0.05,0.14,0.13,36.73,92.35, 
0.89,0.92,0.06,0.14,0.13,36.74,92.52, 
0.94,0.97,0.06,0.14,0.13,36.76,92.69, 
0.93,0.96,0.05,0.14,0.13,36.77,92.86, 
1.02,1.05,0.05,0.14,0.13,36.79,93.03, 
4.62,4.64,0.05,0.14,0.13,36.8,93.2, 
6.25,6.28,0.05,0.14,0.13,36.82,93.36, 
3.81,3.85,0.06,0.16,0.13,36.83,93.53, 
1.18,1.24,0.1,0.23,0.13,36.85,93.7, 
0.74,0.85,0.19,0.35,0.13,36.86,93.87, 
1.2,1.39,0.32,0.52,0.13,36.88,94.04, 
1.6,1.86,0.44,0.66,0.13,36.89,94.21, 
1.96,2.28,0.55,0.78,0.13,36.9,94.38, 
2.24,2.6,0.64,0.84,0.13,36.92,94.55, 
2.35,2.71,0.68,0.8,0.13,36.93,94.71, 
2.29,2.6,0.65,0.67,0.13,36.94,94.88, 
2.21,2.47,0.62,0.57,0.13,36.96,95.05, 
2.18,2.41,0.61,0.53,0.13,36.97,95.22, 
2.06,2.28,0.65,0.5,0.13,36.98,95.39, 
1.94,2.16,0.68,0.46,0.13,36.99,95.56, 
1.92,2.14,0.72,0.45,0.13,37.01,95.73, 
1.98,2.2,0.77,0.47,0.13,37.02,95.9, 
2.07,2.29,0.82,0.51,0.13,37.03,96.07, 
2.2,2.44,0.89,0.57,0.14,37.04,96.24, 
2.37,2.62,1.01,0.66,0.14,37.05,96.41, 
2.57,2.84,1.18,0.82,0.14,37.06,96.58, 
2.89,3.22,1.63,1.09,0.14,37.07,96.75, 
3.03,3.38,1.75,1.16,0.14,37.08,96.91, 
2.9,3.27,1.7,1.14,0.14,37.09,97.08, 
2.8,3.16,1.54,1.08,0.14,37.1,97.25, 
2.68,3.02,1.5,1.1,0.14,37.11,97.42, 
2.46,2.75,1.41,1.09,0.14,37.12,97.59, 
2.31,2.58,1.28,0.95,0.14,37.13,97.76, 
2.23,2.48,1.16,0.82,0.13,37.14,97.93, 
2.23,2.47,1.12,0.72,0.13,37.15,98.1, 
2.27,2.51,1.06,0.68,0.13,37.16,98.27, 
2.32,2.59,1.03,0.76,0.13,37.17,98.44, 
2.4,2.7,1.1,0.93,0.14,37.18,98.61, 
2.12,2.37,0.92,0.75,0.13,37.18,98.78, 
2.05,2.29,0.86,0.74,0.13,37.19,98.95, 
2.08,2.34,0.83,0.78,0.13,37.2,99.12, 
2.1,2.37,0.85,0.83,0.13,37.21,99.29, 
2.15,2.42,0.88,0.88,0.14,37.21,99.46, 
2.17,2.45,0.9,0.9,0.14,37.22,99.63, 
2.14,2.41,0.88,0.88,0.14,37.23,99.8, 
2.18,2.45,0.87,0.88,0.14,37.23,99.97, 
2.4,2.7,0.93,0.96,0.14,37.24,100.14, 
2.81,3.2,1.04,1.22,0.14,37.25,100.31, 
3.02,3.43,1.07,1.4,0.14,37.25,100.48, 
2.94,3.32,1.01,1.4,0.14,37.26,100.65, 
2.82,3.15,0.93,1.22,0.14,37.26,100.82, 
2.63,2.93,0.85,1.08,0.14,37.27,100.99, 
2.65,2.97,0.83,1.1,0.15,37.27,101.16, 
3.28,3.75,0.93,1.42,0.17,37.28,101.33, 
4.52,5.33,1.23,2.04,0.2,37.28,101.51, 
5.01,6,1.37,2.36,0.22,37.29,101.68, 
4.62,5.5,1.23,2.22,0.21,37.29,101.85, 
4.71,5.72,1.18,2.35,0.22,37.3,102.02, 
4.92,6.17,1.1,2.58,0.23,37.3,102.19, 
5.21,6.67,1.04,2.84,0.25,37.3,102.36, 
5.8,7.57,1.09,3.23,0.27,37.31,102.53, 
6.9,9.22,1.27,3.97,0.31,37.31,102.7, 
9.08,12.38,1.65,5.56,0.38,37.31,102.87, 
10.81,14.79,2.31,6.89,0.42,37.31,103.04, 
12.75,17.56,2.85,7.93,0.46,37.32,103.21, 
15.05,21,3.47,8.84,0.51,37.32,103.38, 
18.35,26.4,4.8,10.67,0.56,37.32,103.55, 
20.34,29.8,6.35,12.45,0.57,37.32,103.72, 
22.31,33.23,8.85,15.51,0.58,37.32,103.89, 
27.87,43.51,18.06,27.79,0.66,37.33,104.06, 
37.14,61.81,21.59,34.8,0.92,37.33,104.23, 
38.13,64.11,17.99,30.8,0.91,37.33,104.4, 
39.5,66.79,16.75,31.91,0.92,37.33,104.57, 
41.4,72.5,17.19,37.12,0.94,37.33,104.74, 
42.04,75.79,17.52,41.34,0.93,37.33,104.91, 
40.3,74.09,16.23,39.33,0.88,37.33,105.09, 
39.06,72.71,15.05,37.27,0.85,37.33,105.26, 
37.69,70.99,13.98,34.92,0.81,37.33,105.43, 
36.08,69.96,13.38,33.37,0.78,37.33,105.6, 
32.33,65.81,11.12,24.9,0.73,37.33,105.77, 
30.65,63.57,10.08,20.53,0.7,37.33,105.94, 
28.63,58.39,9.61,17.21,0.64,37.32,106.11, 
27.25,54.57,9.4,15.43,0.6,37.32,106.28, 
26.25,51.16,9.77,14.77,0.57,37.32,106.45, 
26.4,49.89,10.31,14.69,0.55,37.32,106.62, 
28.41,51.19,11.42,15.95,0.53,37.32,106.79, 
29.35,49.98,12.1,13.44,0.49,37.31,106.96, 
29.1,47.11,12.06,9.64,0.44,37.31,107.13, 
29.42,45.83,12.65,9.35,0.41,37.31,107.3, 
28.91,43.9,13.3,9.64,0.39,37.31,107.47, 
28.24,42.65,14.12,10.7,0.41,37.3,107.64, 
27.45,42.09,14.76,12.26,0.45,37.3,107.81, 
26.04,39.88,14.9,12.98,0.49,37.3,107.98, 
24.8,38.06,15.18,13.62,0.53,37.29,108.15, 
24.04,37.61,16.46,15.67,0.61,37.29,108.32, 
23.6,38.46,16.91,18.33,0.68,37.28,108.49, 
24.46,41.45,18.25,22.49,0.77,37.28,108.67, 
26.37,46.56,20.91,29.02,0.9,37.27,108.84, 
28.68,52.85,21.91,33.89,1.04,37.27,109.01, 
31.46,60.06,23.12,38.43,1.19,37.26,109.18, 
33.72,66.08,25.32,42.45,1.31,37.26,109.35, 
36.29,71.83,28.78,47.36,1.4,37.25,109.52, 
40.33,79.89,33.73,53.36,1.46,37.25,109.69, 
45.58,88.54,37.93,59.1,1.5,37.24,109.86, 
51,94.89,39.63,61.88,1.45,37.23,110.03, 
55.66,100.04,41.66,64.28,1.44,37.23,110.2, 
62.12,108.69,47.34,67.46,1.47,37.22,110.37, 
69.99,120.08,55.92,69.17,1.47,37.21,110.54, 
82.95,136.77,60.99,67.77,1.5,37.21,110.71, 
84.46,136.7,56.67,66.65,1.43,37.2,110.88, 
87.08,141.05,57.81,68.38,1.44,37.19,111.05, 
90.86,147.44,63.36,71.88,1.48,37.18,111.22, 
94.98,157.39,66.99,75.24,1.55,37.18,111.39, 
107.53,189.66,81.56,82.11,1.9,37.17,111.56, 
130.78,249.9,116.36,88.1,2.69,37.16,111.73, 
146.35,287.13,124.93,90.29,3.14,37.15,111.9, 
134.66,258.17,79.24,88.83,2.59,37.14,112.07, 
128.21,223.15,51.61,80.99,2.04,37.13,112.24, 
130.49,222.2,43.88,76.15,1.88,37.12,112.41, 
131.01,227.92,41.16,74.53,1.94,37.11,112.58, 
123.99,220.03,36.61,73.13,1.88,37.1,112.75, 
115.41,204.82,31.68,70.51,1.7,37.09,112.92, 
110.52,195.44,27.74,66.19,1.58,37.08,113.09, 
108.11,191.51,25.69,63.97,1.54,37.07,113.25, 
103.52,183.1,23.14,62.43,1.44,37.06,113.42, 
100.33,177.78,19.87,61.64,1.37,37.05,113.59, 
104.81,189.1,18.53,63.28,1.39,37.04,113.76, 
115.17,214.08,18.48,66.51,1.47,37.03,113.93, 
129.62,249.34,18.62,69.09,1.63,37.02,114.1, 
156.49,308.49,21.71,71.49,2.04,37.01,114.27, 
173.66,353.06,19.77,72.62,2.19,36.99,114.44, 
174.95,369.05,16.47,71.25,2.11,36.98,114.61, 
162.41,352.92,13.94,68.39,1.84,36.97,114.78, 
155.83,341.63,14.1,66.98,1.79,36.96,114.95, 
152.23,329.79,14.97,66.38,1.78,36.94,115.12, 
152.36,329.8,16.41,67.27,1.86,36.93,115.29, 
154.06,334.19,18.38,69.25,1.98,36.92,115.45, 
155.72,334.32,20.37,71.1,2.03,36.9,115.62, 
158.59,330.38,20.3,72.51,1.97,36.89,115.79, 
174.31,347.7,22.44,78.69,2.1,36.88,115.96, 
182.98,360.24,24.09,83.53,2.23,36.86,116.13, 
188.79,371.39,23.58,86.06,2.35,36.85,116.3, 
194.76,380.75,23.86,88.8,2.43,36.83,116.47, 
203.56,392.22,24.47,90.66,2.5,36.82,116.64, 
228.78,427.85,29.01,101.43,2.76,36.8,116.8, 
231.85,430.76,27.93,104.16,2.75,36.79,116.97, 
223.35,413.81,26.15,100.03,2.6,36.77,117.14, 
189.7,353.71,23.35,79.86,2.14,36.76,117.31, 
191.96,353.43,24.8,76.5,2.19,36.74,117.48, 
198.26,360.93,25.27,75.29,2.27,36.73,117.65, 
194.29,350.83,24.28,71.23,2.2,36.71,117.81, 
183.11,324.69,22.67,65.7,2,36.69,117.98, 
177.39,311,21.33,61.57,1.88,36.68,118.15, 
178.89,312.99,20.32,59.13,1.88,36.66,118.32, 
183.19,324.72,19.89,58.89,1.94,36.64,118.49, 
180.96,328.89,19.51,58.1,1.94,36.63,118.65, 
169.43,318.57,18.61,56.1,1.86,36.61,118.82, 
164.92,321.33,18.79,55.68,1.88,36.59,118.99, 
153.47,308.34,17.6,53.3,1.78,36.57,119.16, 
137.14,279.9,14.54,48.69,1.58,36.56,119.32, 
128.12,267.54,13.34,46.11,1.51,36.54,119.49, 
120.44,257.35,12.58,45.05,1.46,36.52,119.66, 
114.52,249.84,12.33,44.21,1.43,36.5,119.83, 
108.64,241.08,11.44,42.7,1.38,36.48,119.99, 
101.08,228.98,10.52,41.14,1.32,36.46,120.16, 
90.55,209.36,9.37,37.83,1.21,36.44,120.33, 
76.98,175.79,7.67,30.58,1.01,36.42,120.49, 
66.25,142.28,7.89,24.18,0.82,36.4,120.66, 
0.67,0.71,0.09,2.37,0.13,34.73,78.33, 
0.63,0.67,0.09,2.09,0.13,34.77,78.49, 
0.61,0.65,0.09,1.89,0.13,34.8,78.65, 
0.61,0.66,0.1,1.74,0.13,34.83,78.81, 
0.61,0.66,0.11,1.56,0.13,34.87,78.97, 
0.59,0.64,0.11,1.37,0.13,34.9,79.13, 
0.56,0.6,0.11,1.24,0.13,34.93,79.29, 
0.55,0.59,0.1,1.13,0.14,34.96,79.45, 
0.58,0.63,0.11,1.13,0.14,35,79.61, 
0.58,0.63,0.11,1.11,0.14,35.03,79.78, 
0.53,0.66,0.1,0.99,0.14,35.06,79.94, 
0.51,0.62,0.1,0.89,0.14,35.09,80.1, 
0.44,0.53,0.08,0.68,0.14,35.12,80.26, 
0.35,0.42,0.07,0.5,0.14,35.16,80.42, 
0.31,0.37,0.06,0.43,0.13,35.19,80.58, 
