pm25,pm10,so2,no2,co,纬度,经度, 
20.26,31.93,2,2.67,0.36,20.97,109.93, 
21.03,33.41,2.07,2.36,0.35,20.97,110.07, 
20.98,31.61,3.17,4.2,0.36,21.11,109.79, 
21.77,33.21,3.56,4.6,0.38,21.11,109.94, 
22.66,34.49,4.18,4.97,0.37,21.1,110.08, 
23.22,34.92,4.57,4.82,0.35,21.09,110.22, 
20.75,26.22,5.84,1.58,0.23,21.29,101.34, 
20.48,25.59,5.91,1.73,0.23,21.29,101.49, 
20.46,24.14,6.15,1.49,0.22,21.3,101.63, 
22.69,33.13,4.63,5.77,0.37,21.25,109.8, 
23.33,34.4,5.08,6.4,0.4,21.24,109.94, 
24.12,35.82,5.77,7.27,0.41,21.23,110.09, 
24.6,35.93,6.21,7.22,0.39,21.23,110.23, 
24.22,34.92,4.49,4.52,0.36,21.22,110.37, 
23.58,33.61,2.56,1.73,0.32,21.21,110.52, 
20.69,26.55,5.8,2.12,0.23,21.42,101.2, 
21.61,29.71,6.05,3.58,0.26,21.42,101.34, 
21.6,29.45,6.34,4.27,0.26,21.43,101.48, 
21.54,27.11,6.84,3.65,0.25,21.43,101.63, 
25.95,38.34,7.4,10.65,0.46,21.37,109.95, 
26.68,40.53,8.32,12.9,0.51,21.37,110.09, 
26.73,40.75,8.75,12.92,0.49,21.36,110.24, 
26.19,40.07,6.82,9.4,0.45,21.35,110.38, 
25.69,39.11,4.46,5.24,0.41,21.35,110.52, 
25.4,38.43,3.75,3.59,0.38,21.34,110.67, 
20.21,28.55,5.29,3.51,0.26,21.52,100.33, 
20.89,31.6,5.61,5.53,0.28,21.52,100.47, 
21.56,32.9,6.28,7.31,0.3,21.53,100.62, 
21.39,30.6,5.97,5.54,0.28,21.56,101.33, 
21.61,30.28,6.17,5.3,0.28,21.56,101.48, 
21.77,28.42,6.55,4.03,0.26,21.56,101.62, 
26.4,34.01,6.12,5.06,0.36,21.59,107.52, 
22.4,32.99,8.86,10.38,0.5,21.58,107.95, 
21.58,33.15,9.27,12.14,0.54,21.57,108.09, 
23.66,34.14,6.14,7.89,0.48,21.54,109.24, 
24.63,35.27,6.13,8.16,0.47,21.53,109.38, 
25.46,36.61,6.68,8.99,0.46,21.52,109.53, 
26.65,38.13,7.13,9.87,0.46,21.52,109.67, 
27.38,39.71,7.46,11.31,0.5,21.51,109.81, 
27.73,41.2,8.1,12.86,0.53,21.51,109.96, 
27.96,42.6,8.78,14.18,0.55,21.5,110.1, 
28.13,43.41,9.25,14.21,0.54,21.49,110.24, 
28,43.7,8.2,11.99,0.52,21.49,110.39, 
27.61,43.45,6.79,9.27,0.5,21.48,110.53, 
27.33,42.4,6.45,7.82,0.46,21.47,110.67, 
27.04,41.34,6.16,6.66,0.42,21.47,110.82, 
26.45,40.68,5.25,5.16,0.38,21.46,110.96, 
26.52,39.7,4.42,4.15,0.35,21.44,111.25, 
21.16,30.93,5.88,5.24,0.28,21.65,100.18, 
21.2,33.35,5.24,5.64,0.29,21.65,100.32, 
22.52,37.62,5.63,8.49,0.33,21.66,100.47, 
23.68,41.15,6.39,12.45,0.38,21.66,100.61, 
22.7,36.4,6.03,8.58,0.33,21.67,100.75, 
21.51,30.39,5.71,5.52,0.29,21.68,101.19, 
21.49,31.65,5.78,7.15,0.3,21.69,101.33, 
21.63,31.52,6.09,6.66,0.29,21.69,101.47, 
21.65,29.88,6.52,5.23,0.27,21.7,101.62, 
20.75,25.47,5.98,1.58,0.23,21.7,101.76, 
22.72,30.04,5.27,4.3,0.35,21.73,107.23, 
22.09,29.5,5.25,5.08,0.36,21.72,107.38, 
23.23,31.07,5.97,6.32,0.39,21.72,107.52, 
25.79,35.57,7.51,9.26,0.45,21.72,107.66, 
25.86,36.52,8.81,11.42,0.52,21.71,107.81, 
25.33,36.66,8.99,13.48,0.59,21.71,107.95, 
24.25,36.68,9.73,15.79,0.66,21.71,108.09, 
23.54,37.38,12.71,20.2,0.71,21.7,108.24, 
22.22,35.17,12.83,18.55,0.66,21.7,108.38, 
20.67,31.76,10.66,14.09,0.57,21.69,108.53, 
21.64,32.06,7.25,8.95,0.55,21.68,108.81, 
22.7,33.66,7.66,10,0.56,21.68,108.96, 
23.58,34.55,7.59,10.64,0.56,21.67,109.1, 
24.31,34.86,6.39,9.99,0.53,21.67,109.25, 
25.08,36.09,6.51,10.2,0.51,21.66,109.39, 
27.31,39.84,7.6,13.02,0.57,21.65,109.68, 
27.69,40.98,7.75,13.6,0.59,21.65,109.82, 
28.11,42.17,8.26,14.19,0.58,21.64,109.96, 
28.51,43.3,8.79,14.6,0.58,21.63,110.11, 
28.78,44.39,9.37,14.71,0.58,21.63,110.25, 
29.19,45.71,9.77,14.92,0.58,21.62,110.39, 
29.31,46.37,10.42,15.42,0.58,21.61,110.54, 
29.29,45.89,11.1,15.6,0.56,21.61,110.68, 
29.29,45.2,10.63,14.42,0.53,21.6,110.83, 
29.16,44.69,8.34,11.25,0.5,21.59,110.97, 
29.95,44.93,6.54,9.07,0.48,21.58,111.11, 
30.83,44.55,6.02,8.75,0.46,21.58,111.26, 
31.36,44.08,5.86,8.77,0.43,21.57,111.4, 
30.82,41.91,5.54,7.77,0.37,21.56,111.54, 
